x,y,radius,z
89.89,116.74,0.303,2.97
75.87,58.37,0.303,2.97
328.23,130.72,0.303,2.97
156.69,300.89,0.302,2.98
325.76,189.91,0.302,2.98
90.72,170.18,0.302,2.98
364.52,126.61,0.302,2.98
277.1,252.39,0.302,2.98
127.0,124.96,0.302,2.98
310.91,184.98,0.302,2.98
76.7,105.23,0.302,2.98
124.53,28.77,0.302,2.98
149.27,42.75,0.301,2.99
337.3,309.94,0.301,2.99
141.02,34.53,0.301,2.99
366.99,252.39,0.301,2.99
129.48,318.16,0.301,2.99
159.17,290.21,0.301,2.99
375.24,241.7,0.301,2.99
306.79,25.49,0.301,2.99
368.64,269.65,0.301,2.99
376.89,166.89,0.301,2.99
98.14,318.16,0.301,2.99
141.02,115.92,0.301,2.99
159.17,244.99,0.301,2.99
310.91,124.14,0.301,2.99
150.1,202.24,0.301,2.99
50.31,195.66,0.301,2.99
368.64,276.23,0.301,2.99
367.82,283.63,0.3,3.0
350.5,300.89,0.3,3.0
74.22,167.71,0.3,3.0
80.82,167.71,0.3,3.0
59.38,242.52,0.3,3.0
84.12,308.29,0.3,3.0
133.6,124.96,0.3,3.0
277.1,201.42,0.3,3.0
293.59,33.71,0.3,3.0
59.38,167.71,0.3,3.0
50.31,176.75,0.3,3.0
360.4,41.93,0.3,3.0
